Symbol GSE Entrez WP
66 RNF6 GSE107980 6049 WP138
67 ROCR GSE126537 102723505 NA
68 ROR1 GSE96637 4919 WP170;WP363;WP4258;WP428;WP4336
69 RUVBL2 GSE105253 10856 NA
70 SENCR GSE122490 100507392 NA
71 SHARPIN GSE77261 81858 NA
72 SIRT7 GSE99596 51547 WP3644;WP3645
73 SNHG12 GSE138219 85028 NA
74 SOCS3 GSE122486 9021 WP2034;WP2037;WP2332;WP236;WP2374;WP2815;WP2864;WP364;WP3935;WP395;WP4217;WP4396;WP4538;WP4754;WP481;WP49;WP585;WP619
75 SRA1 GSE52385 10011 NA
76 SRSF2 GSE111900 6427 WP411
77 STAB1 GSE63807 23166 NA
78 TDG GSE123681 6996 WP1601;WP3585;WP4752
79 TMEM102 GSE69511 284114 NA
80 TNFAIP3 GSE111084 7128 WP1449;WP231;WP2877;WP2882;WP4754
81 TNFSF13 GSE104425 8741 WP2431
82 TP53 GSE132340 7157 WP1403;WP1530;WP1545;WP1601;WP1742;WP176;WP1772;WP179;WP1971;WP1984;WP2059;WP2249;WP2261;WP2363;WP2374;WP2431;WP2446;WP2447;WP2516;WP254;WP2815;WP2828;WP3286;WP3303;WP3594;WP3611;WP3614;WP3646;WP3651;WP366;WP3672;WP382;WP3959;WP3981;WP3982;WP399;WP3998;WP4016;WP4155;WP4172;WP4191;WP4206;WP4216;WP4239;WP4255;WP4262;WP4263;WP4284;WP4313;WP4320;WP4399;WP45;WP4658;WP4674;WP4685;WP4746;WP4747;WP4754;WP615;WP673;WP707;WP710
83 TRIM24 GSE77140 8805 NA
84 UBE21 GSE117143 NA NA
85 UBE3A GSE107245 7337 WP138;WP3584;WP3594;WP3998;WP4539
86 ZFR GSE99231 51663 WP410
87 ZNF217 GSE58326 7764 NA
88 ZNF423 GSE59598 23090 WP2895;WP4149;WP4656;WP560
