Symbol GSE Entrez GO
18 CTNNB1 GSE133976 1499 GO:0000122;GO:0000209;GO:0000578;GO:0000904;GO:0001569;GO:0001658;GO:0001701;GO:0001702;GO:0001708;GO:0001711;GO:0001764;GO:0001837;GO:0001840;GO:0002052;GO:0002053;GO:0002089;GO:0003266;GO:0003338;GO:0003340;GO:0007155;GO:0007160;GO:0007223;GO:0007268;GO:0007398;GO:0007403;GO:0008285;GO:0009948;GO:0009950;GO:0009954;GO:0010718;GO:0010909;GO:0016032;GO:0016055;GO:0016525;GO:0019827;GO:0021819;GO:0022009;GO:0030316;GO:0030521;GO:0030539;GO:0030902;GO:0030997;GO:0031016;GO:0031069;GO:0031641;GO:0032212;GO:0032331;GO:0032355;GO:0032481;GO:0033077;GO:0033234;GO:0034333;GO:0034394;GO:0035050;GO:0035112;GO:0035115;GO:0035116;GO:0035315;GO:0035635;GO:0036023;GO:0042129;GO:0042475;GO:0042493;GO:0042733;GO:0043065;GO:0043066;GO:0043123;GO:0043161;GO:0043410;GO:0043525;GO:0044334;GO:0044336;GO:0045453;GO:0045603;GO:0045669;GO:0045671;GO:0045743;GO:0045765;GO:0045892;GO:0045893;GO:0045944;GO:0045976;GO:0048096;GO:0048145;GO:0048469;GO:0048489;GO:0048538;GO:0048599;GO:0048617;GO:0048643;GO:0048660;GO:0048715;GO:0050767;GO:0050808;GO:0051091;GO:0051145;GO:0051149;GO:0051571;GO:0051884;GO:0051973;GO:0060066;GO:0060070;GO:0060440;GO:0060441;GO:0060479;GO:0060484;GO:0060492;GO:0060742;GO:0060769;GO:0060789;GO:0060828;GO:0060916;GO:0061154;GO:0061198;GO:0061324;GO:0061549;GO:0061550;GO:0070602;GO:0071363;GO:0071681;GO:0072033;GO:0072053;GO:0072054;GO:0072079;GO:0072182;GO:0090279;GO:0097091;GO:0098609;GO:1903204;GO:1904501;GO:1904793;GO:1904798;GO:1904837;GO:1904886;GO:1904888;GO:1904948;GO:1904954;GO:1990138;GO:1990403;GO:1990791;GO:2000008;GO:2000017;GO:2000144;GO:2001234
19 DANCR GSE117415 57291 NA
20 DNM3OS GSE104295 100628315 GO:0035195
21 DRAIC GSE118101 145837 NA
22 E6AP GSE107245 NA NA
23 EFTUD2 GSE129619 9343 GO:0000398;GO:0035690;GO:0042220
24 EGFL6 GSE133000 25975 GO:0007155;GO:0007275;GO:0010811;GO:0030154;GO:0030198
25 EIF5A GSE104604 1984 GO:0006406;GO:0006452;GO:0006611;GO:0006913;GO:0006915;GO:0008284;GO:0045901;GO:0045905
26 ELAVL2 GSE69092 1993 GO:0000398;GO:0006355
27 EPAS1 GSE62974 2034 GO:0001525;GO:0001666;GO:0001892;GO:0001974;GO:0002027;GO:0006357;GO:0006366;GO:0007005;GO:0007165;GO:0007601;GO:0016567;GO:0030218;GO:0030324;GO:0042415;GO:0043129;GO:0043619;GO:0043687;GO:0045944;GO:0048469;GO:0048625;GO:0055072;GO:0061418;GO:0071456;GO:0120162
28 ESRP2 GSE129540 80004 GO:0000380;GO:0008543;GO:0043484;GO:0050679;GO:0060441;GO:0060445
29 Exoc5 GSE127736 NA NA
30 FOXP1 GSE108500 27086 GO:0002903;GO:0006357;GO:0006974;GO:0010595;GO:0010629;GO:0030316;GO:0032496;GO:0032680;GO:0035019;GO:0035926;GO:0036035;GO:0042116;GO:0042117;GO:0042118;GO:0045655;GO:0045892;GO:0048661;GO:0050706;GO:0050727;GO:0050861;GO:0060766;GO:0061470;GO:0072619;GO:1900424;GO:1901256;GO:1901509;GO:2001182
31 GATA3 GSE72141 2625 GO:0000122;GO:0001701;GO:0001709;GO:0001764;GO:0001806;GO:0001822;GO:0001823;GO:0002088;GO:0002520;GO:0002572;GO:0003180;GO:0003215;GO:0003281;GO:0006338;GO:0006366;GO:0006952;GO:0006959;GO:0007165;GO:0007411;GO:0007596;GO:0008285;GO:0008584;GO:0009615;GO:0009653;GO:0009791;GO:0009967;GO:0010332;GO:0010595;GO:0010975;GO:0014065;GO:0016579;GO:0019221;GO:0030218;GO:0030856;GO:0031929;GO:0032689;GO:0032703;GO:0032753;GO:0033600;GO:0035162;GO:0035457;GO:0035799;GO:0035898;GO:0042035;GO:0042421;GO:0042472;GO:0043370;GO:0043523;GO:0043583;GO:0043627;GO:0045061;GO:0045064;GO:0045087;GO:0045471;GO:0045582;GO:0045599;GO:0045786;GO:0045892;GO:0045893;GO:0045944;GO:0048469;GO:0048485;GO:0048538;GO:0048568;GO:0048589;GO:0048646;GO:0050728;GO:0050852;GO:0051569;GO:0051897;GO:0060017;GO:0060037;GO:0060065;GO:0060231;GO:0060374;GO:0060676;GO:0061085;GO:0061290;GO:0071353;GO:0071356;GO:0071442;GO:0071599;GO:0071773;GO:0072107;GO:0072178;GO:0072179;GO:0072182;GO:0072197;GO:0072602;GO:0072643;GO:0072676;GO:0090102;GO:1901536;GO:1902036;GO:2000114;GO:2000146;GO:2000352;GO:2000553;GO:2000607;GO:2000611;GO:2000617;GO:2000664;GO:2000667;GO:2000679;GO:2000683;GO:2000703;GO:2000734
32 GRP78 GSE115849 NA NA
33 H19 GSE80237 283120 GO:0035195
34 HBO1 GSE101972 NA NA
35 HMGA2 GSE107594 8091 GO:0000122;GO:0001837;GO:0002062;GO:0003131;GO:0006284;GO:0006325;GO:0006355;GO:0007095;GO:0007275;GO:0009615;GO:0010564;GO:0010628;GO:0030261;GO:0031052;GO:0031507;GO:0035978;GO:0035986;GO:0035987;GO:0035988;GO:0040008;GO:0042769;GO:0043065;GO:0043066;GO:0043392;GO:0043922;GO:0045444;GO:0045766;GO:0045869;GO:0045892;GO:0045893;GO:0045944;GO:0048333;GO:0048762;GO:0048863;GO:0051301;GO:0071158;GO:0071864;GO:0071902;GO:0090402;GO:2000036;GO:2000648;GO:2000679;GO:2000685;GO:2000773;GO:2000774;GO:2001022;GO:2001033;GO:2001038
36 HPSE GSE126504 10855 GO:0006027;GO:0006029;GO:0007160;GO:0010575;GO:0030194;GO:0030200;GO:0033690;GO:0043312;GO:0051797;GO:0051798;GO:0051897;GO:0060055;GO:0061042
37 HSP90 GSE126151 NA NA
38 IL1B GSE121241 3553 GO:0000165;GO:0000187;GO:0001660;GO:0001934;GO:0002711;GO:0006915;GO:0006954;GO:0006955;GO:0007165;GO:0007267;GO:0007566;GO:0008284;GO:0008285;GO:0009743;GO:0010575;GO:0010628;GO:0010718;GO:0010829;GO:0014805;GO:0019221;GO:0030213;GO:0030335;GO:0030593;GO:0030730;GO:0030949;GO:0031394;GO:0031622;GO:0031663;GO:0032308;GO:0032496;GO:0032611;GO:0032635;GO:0032725;GO:0032729;GO:0032755;GO:0032757;GO:0033129;GO:0033198;GO:0034116;GO:0035066;GO:0035234;GO:0035505;GO:0035690;GO:0042102;GO:0043122;GO:0043123;GO:0043407;GO:0043491;GO:0045080;GO:0045086;GO:0045410;GO:0045429;GO:0045766;GO:0045833;GO:0045840;GO:0045893;GO:0045917;GO:0045944;GO:0046330;GO:0046627;GO:0046827;GO:0048143;GO:0050691;GO:0050729;GO:0050766;GO:0050767;GO:0050768;GO:0050796;GO:0050805;GO:0050995;GO:0050996;GO:0050999;GO:0051044;GO:0051091;GO:0051092;GO:0051781;GO:0060252;GO:0060355;GO:0060559;GO:0070164;GO:0070372;GO:0070487;GO:0070498;GO:0070555;GO:0071222;GO:0071260;GO:0071310;GO:0071407;GO:0071639;GO:0097192;GO:0150078;GO:1900745;GO:1901224;GO:1902680;GO:1903140;GO:2000556;GO:2000778;GO:2001240
39 IQGAP3 GSE137802 128239 GO:0000082;GO:0000187;GO:0007265;GO:0008361;GO:0010628;GO:0010629;GO:0033601;GO:0043087;GO:0070371;GO:0071310
