Symbol GSE Entrez GO
1 ADNP GSE79395 23394 GO:0006357;GO:0007614;GO:0009743;GO:0010035;GO:0010629;GO:0010835;GO:0019934;GO:0031668;GO:0032091;GO:0032147;GO:0033484;GO:0043524;GO:0044849;GO:0045773;GO:0050731;GO:0050805;GO:0051965
2 AHR GSE52036 196 GO:0001568;GO:0006355;GO:0006357;GO:0006366;GO:0006805;GO:0006915;GO:0007049;GO:0009410;GO:0009636;GO:0010468;GO:0019933;GO:0030522;GO:0030888;GO:0032922;GO:0045892;GO:0045893;GO:0045944;GO:0071320;GO:1904322;GO:1904613
3 ARID1B GSE75291 57492 GO:0002931;GO:0006338;GO:0006357;GO:0007270;GO:0048096;GO:0060996;GO:0097026;GO:1904385
4 B2M GSE137843 567 GO:0001895;GO:0001916;GO:0002237;GO:0002474;GO:0002479;GO:0002480;GO:0002481;GO:0002726;GO:0006826;GO:0007611;GO:0010977;GO:0019885;GO:0032092;GO:0033077;GO:0034756;GO:0042026;GO:0043312;GO:0044267;GO:0045087;GO:0045646;GO:0046686;GO:0048260;GO:0050680;GO:0050690;GO:0050768;GO:0050776;GO:0051289;GO:0055072;GO:0060333;GO:0071281;GO:0071283;GO:0071316;GO:0090647;GO:1900121;GO:1900122;GO:1904434;GO:1904437;GO:1990000;GO:2000774;GO:2000978
5 CASC9 GSE125648 101805492 NA
6 CBAP GSE69511 NA NA
7 CD73 GSE117012 NA NA
8 CDK19 GSE78506 23097 GO:0006468;GO:0043065;GO:0050729;GO:0051726;GO:0071222
9 CDK8 GSE78506 1024 GO:0006367;GO:0006468;GO:0045944;GO:0051726
10 COX1 GSE66173 4512 GO:0006123;GO:0006979;GO:0007568;GO:0009060;GO:0015990;GO:0021549;GO:0046688;GO:0051602
11 COX2 GSE80979 4513 GO:0006123;GO:0007595;GO:0009409;GO:0010729;GO:0010940;GO:0042773;GO:1902600;GO:2001171
12 DNM3OS GSE104295 100628315 GO:0035195
13 DRAIC GSE118101 145837 NA
14 E6AP GSE107245 NA NA
15 EFTUD2 GSE129619 9343 GO:0000398;GO:0035690;GO:0042220
16 EIF5A GSE104604 1984 GO:0006406;GO:0006452;GO:0006611;GO:0006913;GO:0006915;GO:0008284;GO:0045901;GO:0045905
17 ELAVL2 GSE69092 1993 GO:0000398;GO:0006355
18 EPAS1 GSE62974 2034 GO:0001525;GO:0001666;GO:0001892;GO:0001974;GO:0002027;GO:0006357;GO:0006366;GO:0007005;GO:0007165;GO:0007601;GO:0016567;GO:0030218;GO:0030324;GO:0042415;GO:0043129;GO:0043619;GO:0043687;GO:0045944;GO:0048469;GO:0048625;GO:0055072;GO:0061418;GO:0071456;GO:0120162
19 Exoc5 GSE127736 NA NA
