Symbol GSE Entrez GO
20 FOXP1 GSE108500 27086 GO:0002903;GO:0006357;GO:0006974;GO:0010595;GO:0010629;GO:0030316;GO:0032496;GO:0032680;GO:0035019;GO:0035926;GO:0036035;GO:0042116;GO:0042117;GO:0042118;GO:0045655;GO:0045892;GO:0048661;GO:0050706;GO:0050727;GO:0050861;GO:0060766;GO:0061470;GO:0072619;GO:1900424;GO:1901256;GO:1901509;GO:2001182
21 GPAT4 GSE125178 137964 GO:0002071;GO:0006631;GO:0006637;GO:0006654;GO:0006656;GO:0007595;GO:0008610;GO:0016024;GO:0019432;GO:0040014;GO:0046339
22 GRP78 GSE115849 NA NA
23 H19 GSE80237 283120 GO:0035195
24 HBO1 GSE101972 NA NA
25 HMGA2 GSE107594 8091 GO:0000122;GO:0001837;GO:0002062;GO:0003131;GO:0006284;GO:0006325;GO:0006355;GO:0007095;GO:0007275;GO:0009615;GO:0010564;GO:0010628;GO:0030261;GO:0031052;GO:0031507;GO:0035978;GO:0035986;GO:0035987;GO:0035988;GO:0040008;GO:0042769;GO:0043065;GO:0043066;GO:0043392;GO:0043922;GO:0045444;GO:0045766;GO:0045869;GO:0045892;GO:0045893;GO:0045944;GO:0048333;GO:0048762;GO:0048863;GO:0051301;GO:0071158;GO:0071864;GO:0071902;GO:0090402;GO:2000036;GO:2000648;GO:2000679;GO:2000685;GO:2000773;GO:2000774;GO:2001022;GO:2001033;GO:2001038
26 HPSE GSE126504 10855 GO:0006027;GO:0006029;GO:0007160;GO:0010575;GO:0030194;GO:0030200;GO:0033690;GO:0043312;GO:0051797;GO:0051798;GO:0051897;GO:0060055;GO:0061042
27 IL1B GSE121241 3553 GO:0000165;GO:0000187;GO:0001660;GO:0001934;GO:0002711;GO:0006915;GO:0006954;GO:0006955;GO:0007165;GO:0007267;GO:0007566;GO:0008284;GO:0008285;GO:0009743;GO:0010575;GO:0010628;GO:0010718;GO:0010829;GO:0014805;GO:0019221;GO:0030213;GO:0030335;GO:0030593;GO:0030730;GO:0030949;GO:0031394;GO:0031622;GO:0031663;GO:0032308;GO:0032496;GO:0032611;GO:0032635;GO:0032725;GO:0032729;GO:0032755;GO:0032757;GO:0033129;GO:0033198;GO:0034116;GO:0035066;GO:0035234;GO:0035505;GO:0035690;GO:0042102;GO:0043122;GO:0043123;GO:0043407;GO:0043491;GO:0045080;GO:0045086;GO:0045410;GO:0045429;GO:0045766;GO:0045833;GO:0045840;GO:0045893;GO:0045917;GO:0045944;GO:0046330;GO:0046627;GO:0046827;GO:0048143;GO:0050691;GO:0050729;GO:0050766;GO:0050767;GO:0050768;GO:0050796;GO:0050805;GO:0050995;GO:0050996;GO:0050999;GO:0051044;GO:0051091;GO:0051092;GO:0051781;GO:0060252;GO:0060355;GO:0060559;GO:0070164;GO:0070372;GO:0070487;GO:0070498;GO:0070555;GO:0071222;GO:0071260;GO:0071310;GO:0071407;GO:0071639;GO:0097192;GO:0150078;GO:1900745;GO:1901224;GO:1902680;GO:1903140;GO:2000556;GO:2000778;GO:2001240
28 JAG1 GSE76421 182 GO:0001525;GO:0001709;GO:0001953;GO:0001974;GO:0002011;GO:0002456;GO:0003180;GO:0003184;GO:0003215;GO:0007219;GO:0007399;GO:0022408;GO:0030097;GO:0030216;GO:0030336;GO:0032495;GO:0035909;GO:0042127;GO:0042491;GO:0045445;GO:0045446;GO:0045599;GO:0045602;GO:0045639;GO:0045665;GO:0045669;GO:0045746;GO:0045747;GO:0045944;GO:0060411;GO:0061073;GO:0061156;GO:0061309;GO:0061314;GO:0061444;GO:0062043;GO:0072006;GO:0072015;GO:0072017;GO:0072070;GO:0097150;GO:2000737
29 KDM1A GSE86874 23028 GO:0000122;GO:0000380;GO:0002052;GO:0006357;GO:0006482;GO:0007596;GO:0010569;GO:0010976;GO:0021987;GO:0032091;GO:0033169;GO:0033184;GO:0034644;GO:0034720;GO:0035563;GO:0042551;GO:0043392;GO:0043433;GO:0043518;GO:0045793;GO:0045892;GO:0045944;GO:0046098;GO:0051091;GO:0051572;GO:0051573;GO:0055001;GO:0055114;GO:0060992;GO:0071320;GO:0071480;GO:0120162;GO:1902166;GO:1903827;GO:2000179;GO:2000648
30 KDM6B GSE93395 23135 GO:0002437;GO:0006338;GO:0014823;GO:0021766;GO:0045165;GO:0045446;GO:0045944;GO:0048333;GO:0055007;GO:0055114;GO:0060992;GO:0070301;GO:0071557;GO:0120162
31 MALAT1 GSE110525 378938 GO:0071456;GO:0110024;GO:2000147
32 MTHFD2 GSE100261 10797 GO:0035999;GO:0046653;GO:0046655;GO:0055114
33 MTHFD2 GSE81062 10797 GO:0035999;GO:0046653;GO:0046655;GO:0055114
34 NAP1L3 GSE106170 4675 GO:0006334
35 PARP GSE91051 NA NA
36 PCAT1 GSE124519 100750225 NA
37 PEG10 GSE66304 23089 GO:0006915;GO:0030154;GO:0030512
38 PPARD GSE89729 5467 GO:0000122;GO:0006006;GO:0006029;GO:0006091;GO:0006357;GO:0006367;GO:0006629;GO:0006631;GO:0006635;GO:0006776;GO:0006915;GO:0007275;GO:0007507;GO:0007566;GO:0008203;GO:0008283;GO:0008366;GO:0008654;GO:0009062;GO:0009299;GO:0009749;GO:0009755;GO:0010887;GO:0014068;GO:0014823;GO:0014842;GO:0014912;GO:0015908;GO:0019216;GO:0030154;GO:0030308;GO:0030522;GO:0031589;GO:0032024;GO:0032966;GO:0033189;GO:0033993;GO:0042060;GO:0043066;GO:0043401;GO:0043415;GO:0043616;GO:0045600;GO:0045662;GO:0045684;GO:0045892;GO:0045893;GO:0045944;GO:0046697;GO:0048662;GO:0050680;GO:0050728;GO:0051546;GO:0060612;GO:0071222;GO:0071456;GO:0097190;GO:0097755;GO:1902894;GO:1904659;GO:2000288
39 PRDM11 GSE56235 56981 GO:0030308;GO:0032259;GO:0043408;GO:0045892;GO:0045893;GO:0051726;GO:2000271
40 PRMT5 GSE75215 10419 GO:0000387;GO:0006353;GO:0007088;GO:0018216;GO:0019918;GO:0032922;GO:0034969;GO:0035246;GO:0042118;GO:0043985;GO:0044030;GO:0045596;GO:0048714;GO:0070372;GO:0090161;GO:0097421;GO:1901796;GO:1903507;GO:1904992
41 PUM1 GSE95412 9698 GO:0007283;GO:0008344;GO:0010608;GO:0016441;GO:0035196;GO:0043488;GO:0048863;GO:0051726;GO:0051983;GO:0060964;GO:0061157;GO:1900246;GO:2000637
42 PUM2 GSE95412 23369 GO:0006417;GO:0010608;GO:0034063;GO:0035196;GO:0043488;GO:0051983;GO:0060964;GO:1900246;GO:2000637
43 RNF168 GSE106617 165918 GO:0006302;GO:0006303;GO:0006511;GO:0006974;GO:0010212;GO:0016567;GO:0034244;GO:0035518;GO:0036297;GO:0036351;GO:0036352;GO:0045190;GO:0045739;GO:0070534;GO:0070535
44 RNF168 GSE118532 165918 GO:0006302;GO:0006303;GO:0006511;GO:0006974;GO:0010212;GO:0016567;GO:0034244;GO:0035518;GO:0036297;GO:0036351;GO:0036352;GO:0045190;GO:0045739;GO:0070534;GO:0070535
45 RNF213 GSE125178 57674 GO:0000209;GO:0001525;GO:0002040;GO:0006511;GO:0016567;GO:0051260;GO:0051865;GO:2000051
46 ROCK1 GSE68925 6093 GO:0000281;GO:0003180;GO:0003383;GO:0006468;GO:0006915;GO:0006939;GO:0007159;GO:0007165;GO:0007186;GO:0007249;GO:0007266;GO:0010506;GO:0010508;GO:0010613;GO:0010628;GO:0016525;GO:0018105;GO:0018107;GO:0022614;GO:0030036;GO:0030155;GO:0030866;GO:0031032;GO:0031175;GO:0032060;GO:0032091;GO:0032956;GO:0035509;GO:0043312;GO:0043410;GO:0043524;GO:0045616;GO:0045664;GO:0048010;GO:0048013;GO:0048598;GO:0050900;GO:0050901;GO:0051045;GO:0051451;GO:0051492;GO:0051893;GO:0051894;GO:0061157;GO:0070168;GO:0071559;GO:0072659;GO:0097746;GO:0110061;GO:0140058;GO:1900223;GO:1900242;GO:1901888;GO:1902003;GO:1902430;GO:1902992;GO:1903140;GO:1903347;GO:1905205;GO:1990776;GO:2000114;GO:2000145
47 ROR1 GSE96637 4919 GO:0007605;GO:0014002;GO:0018108;GO:0043123;GO:0048839;GO:0048856;GO:0051092;GO:0060071
48 RUVBL2 GSE105253 10856 GO:0000492;GO:0006281;GO:0006310;GO:0006338;GO:0006357;GO:0006457;GO:0016573;GO:0032508;GO:0034644;GO:0035066;GO:0040008;GO:0043967;GO:0043968;GO:0045944;GO:0071169;GO:0071392;GO:0071733;GO:0071899;GO:0090090;GO:1903507;GO:1904874
49 SENCR GSE122490 100507392 NA
50 SET GSE83635 6418 GO:0006260;GO:0006334;GO:0006337;GO:0016032;GO:0032515;GO:0035067;GO:0043488;GO:0043524;GO:0045892
51 SHARPIN GSE77261 81858 GO:0007005;GO:0007249;GO:0007420;GO:0010803;GO:0030262;GO:0031424;GO:0043123;GO:0043161;GO:0050728;GO:0051260;GO:0097039;GO:2000348
52 SIRT7 GSE99596 51547 GO:0000122;GO:0007072;GO:0009303;GO:0070932;GO:0070933
53 SNHG12 GSE138219 85028 GO:0006396
54 SOCS3 GSE122486 9021 GO:0006469;GO:0007259;GO:0016567;GO:0019221;GO:0035556;GO:0040008;GO:0042531;GO:0042532;GO:0043066;GO:0043551;GO:0043687;GO:0045597;GO:0046426;GO:0046627;GO:0046854;GO:0050728;GO:0060334;GO:0060670;GO:0060674;GO:0060707;GO:0060708;GO:0070102;GO:1990830
55 SRA1 GSE52385 10011 GO:0006915;GO:0008283;GO:0030154;GO:0042981;GO:0045662;GO:0071391;GO:1903508
56 TRIM24 GSE77140 8805 GO:0006366;GO:0008285;GO:0016567;GO:0030163;GO:0031647;GO:0042981;GO:0045892;GO:0045893;GO:0046777;GO:0055074;GO:0070562;GO:0071391;GO:1901796
57 TWIST1 GSE106159 7291 GO:0000122;GO:0001503;GO:0001649;GO:0001701;GO:0001764;GO:0001843;GO:0003180;GO:0003183;GO:0003203;GO:0003253;GO:0007517;GO:0010628;GO:0010718;GO:0014067;GO:0019221;GO:0030500;GO:0032000;GO:0032720;GO:0032760;GO:0033128;GO:0035067;GO:0035115;GO:0035116;GO:0035359;GO:0042473;GO:0042476;GO:0042733;GO:0043066;GO:0043433;GO:0043518;GO:0045668;GO:0045766;GO:0045892;GO:0045944;GO:0048511;GO:0048642;GO:0048701;GO:0050679;GO:0060021;GO:0060363;GO:0060900;GO:0061029;GO:0071363;GO:0071456;GO:0071639;GO:2000144;GO:2000147;GO:2000276;GO:2000679;GO:2000773;GO:2000778;GO:2000780;GO:2000793;GO:2000802
58 UBC9 GSE117143 NA NA
59 ZFR GSE99231 51663 GO:0007275
60 ZNF217 GSE58326 7764 GO:0000122;GO:0006351;GO:0006355;GO:0045892
61 ZNF423 GSE59598 23090 GO:0006355;GO:0007219;GO:0007399;GO:0030154;GO:0030513;GO:0045892;GO:0045893;GO:0120163
