Symbol GSE Entrez WP
1 ADNP GSE79395 23394 NA
2 AHR GSE52036 196 WP1984;WP236;WP2586;WP2873;WP2882;WP3594;WP3869;WP3893;WP4673
3 ARID1B GSE75291 57492 WP4204;WP4321
4 B2M GSE137843 567 WP4754
5 CASC9 GSE125648 101805492 NA
6 CBAP GSE69511 NA NA
7 CD73 GSE117012 NA NA
8 CDK19 GSE78506 23097 NA
9 CDK8 GSE78506 1024 WP1982;WP3969;WP4258
10 COX1 GSE66173 4512 WP111;WP1995;WP4396
11 COX2 GSE80979 4513 WP111;WP2197;WP2526;WP437;WP4396
12 DNM3OS GSE104295 100628315 NA
13 DRAIC GSE118101 145837 NA
14 E6AP GSE107245 NA NA
15 EFTUD2 GSE129619 9343 WP411;WP4352
16 EIF5A GSE104604 1984 WP107;WP3302
17 ELAVL2 GSE69092 1993 NA
18 EPAS1 GSE62974 2034 WP236;WP3678;WP3932;WP4241
19 Exoc5 GSE127736 NA NA
20 FOXP1 GSE108500 27086 NA
21 GPAT4 GSE125178 137964 WP2533;WP4722;WP4754
22 GRP78 GSE115849 NA NA
23 H19 GSE80237 283120 WP3969;WP4258
24 HBO1 GSE101972 NA NA
25 HMGA2 GSE107594 8091 WP2857
26 HPSE GSE126504 10855 NA
27 IL1B GSE121241 3553 WP1433;WP1449;WP1455;WP15;WP1533;WP176;WP195;WP2034;WP2059;WP2328;WP2431;WP2849;WP2865;WP2873;WP2882;WP289;WP3617;WP3624;WP382;WP3893;WP4008;WP4304;WP4396;WP4462;WP4478;WP4496;WP4655;WP4754;WP530;WP615;WP619;WP69;WP706;WP727;WP75
28 JAG1 GSE76421 182 WP2572;WP268;WP3413;WP3678;WP3845;WP3888;WP3969;WP4239;WP4331;WP4659;WP61
29 KDM1A GSE86874 23028 WP138;WP4320;WP4321;WP4698;WP4746
30 KDM6B GSE93395 23135 WP3651;WP4698
31 MALAT1 GSE110525 378938 NA
32 MTHFD2 GSE100261 10797 WP176;WP241;WP2525;WP404
33 MTHFD2 GSE81062 10797 WP176;WP241;WP2525;WP404
34 NAP1L3 GSE106170 4675 NA
35 PARP GSE91051 NA NA
36 PCAT1 GSE124519 100750225 NA
37 PEG10 GSE66304 23089 NA
38 PPARD GSE89729 5467 WP1541;WP170;WP236;WP2858;WP2877;WP2882;WP2884;WP299;WP3658;WP3942;WP399;WP4030;WP4719;WP4721
39 PRDM11 GSE56235 56981 NA
40 PRMT5 GSE75215 10419 WP3594;WP4533
41 PUM1 GSE95412 9698 NA
42 PUM2 GSE95412 23369 WP4673
43 RNF168 GSE106617 165918 WP3878
44 RNF168 GSE118532 165918 WP3878
45 RNF213 GSE125178 57674 NA
46 ROCK1 GSE68925 6093 WP138;WP1544;WP185;WP2034;WP2038;WP2272;WP2324;WP306;WP366;WP3888;WP3929;WP437;WP4659;WP51;WP524
47 ROR1 GSE96637 4919 WP170;WP363;WP4258;WP428;WP4336
48 RUVBL2 GSE105253 10856 NA
49 SENCR GSE122490 100507392 NA
50 SET GSE83635 6418 WP2369;WP3888
51 SHARPIN GSE77261 81858 NA
52 SIRT7 GSE99596 51547 WP3644;WP3645
53 SNHG12 GSE138219 85028 NA
54 SOCS3 GSE122486 9021 WP2034;WP2037;WP2332;WP236;WP2374;WP2815;WP2864;WP364;WP3935;WP395;WP4217;WP4396;WP4538;WP4754;WP481;WP49;WP585;WP619
55 SRA1 GSE52385 10011 NA
56 TRIM24 GSE77140 8805 NA
57 TWIST1 GSE106159 7291 WP2064;WP236;WP3599;WP3967;WP4239;WP437;WP4561;WP4564;WP4565
58 UBC9 GSE117143 NA NA
59 ZFR GSE99231 51663 WP410
60 ZNF217 GSE58326 7764 NA
61 ZNF423 GSE59598 23090 WP2895;WP4149;WP4656;WP560
